prefetch_count,arrival_rate,sample_number
1,1552.1142217453478,1
1,1575.9640793404615,2
1,1606.905293705796,3
1,1504.9904847223108,4
1,1489.1348151321272,5
1,1619.9310929077312,1
1,1648.5456813304042,2
1,1635.958343422156,3
1,1672.7247049273753,4
1,1676.74243361701,5
1,1740.6892746213748,6
1,1628.5750117502168,7
1,1718.130935650885,8
1,1691.5194227264735,9
1,1568.6629669878234,10
1,1699.7777918283957,11
1,1641.7126362179747,12
1,1686.63343992929,13
1,1735.1600371218715,14
1,1660.6544558100807,15
1,1615.796455829765,16
1,1637.2377714114668,17
1,1734.110788468271,18
1,1541.2888764962547,19
1,1645.3968616545455,20
1,1710.6884910980543,21
1,1602.558506142195,22
1,1663.8307728272227,23
1,1604.8581980590343,24
1,1584.1303546816341,25
1,1648.2969594328968,26
1,1648.6510268356394,27
1,1664.47801062096,28
1,1696.7627823410094,29
2,2809.7588682187775,30
2,3045.287606973276,31
2,2960.3899774699976,32
2,2987.125647755235,33
2,3012.298217460876,34
2,3147.3356171140795,35
2,2757.530310675399,36
2,3037.9601631619994,37
2,3070.1842302697196,38
2,2762.267626239568,39
2,2984.578368000415,40
2,2896.275567231842,41
2,2957.891255657286,42
2,2993.115936217955,43
2,3127.969110861606,44
2,3055.369550502965,45
2,3088.294413609764,46
2,2892.3853969727666,47
2,2774.4567229923723,48
2,2939.9723333802503,49
2,3142.591608375069,50
2,3202.7619728216537,51
2,2957.534447604902,52
2,2892.2000292757775,53
2,3112.195102766114,54
2,3018.552357252586,55
2,3060.543667895517,56
2,2925.39076927769,57
2,3051.709488520534,58
2,3020.9047842949667,59
3,3445.3679638503577,60
3,3285.186998056372,61
3,3529.973405084705,62
3,3239.574820580685,63
3,3460.8777146155103,64
3,3654.396514895902,65
3,3323.143429841783,66
3,3319.4827106147495,67
3,3576.3590718184837,68
3,3541.5620031618732,69
3,3500.1631149268915,70
3,3524.324880350994,71
3,3507.2610241932343,72
3,3354.7379330483427,73
3,3605.0817302593987,74
3,3662.308667209961,75
3,3671.052083253367,76
3,3249.047108551414,77
3,3515.288866590569,78
3,3579.0788107718527,79
3,3550.2879294104923,80
3,3419.6364498443986,81
3,3517.4638066954117,82
3,3576.856044025461,83
3,3642.48189279141,84
3,3403.948486756547,85
3,3520.019510843291,86
3,3697.254906044594,87
3,3450.1050755201068,88
3,3371.5061126914115,89
4,3424.584160200904,90
4,3462.348489535869,91
4,3597.1905659923013,92
4,3536.9954462586857,93
4,3775.257065166991,94
4,3537.6606630464707,95
4,3412.903880050212,96
4,3562.9957525780765,97
4,3605.8332186593007,98
4,3576.6981814949822,99
4,3561.141891113544,100
4,3294.749730285628,101
4,3432.9554746680683,102
4,3673.51380402366,103
4,3737.524435121513,104
4,3469.129738163466,105
4,3639.99397426379,106
4,3428.459405751755,107
4,3660.3507799663566,108
4,3598.5311438989406,109
4,3490.903620090674,110
4,3533.1966304811185,111
4,3699.3705412444883,112
4,3663.7722223385167,113
4,3666.5760474720714,114
4,3588.98374207232,115
4,3431.362694611818,116
4,3527.1935678601067,117
4,3470.276329588858,118
4,3611.575201281119,119
5,3443.3651912011846,120
5,3416.3618802700053,121
5,3517.579369055634,122
5,3633.9700558536474,123
5,3704.9157312009916,124
5,3548.948724200085,125
5,3872.0271838453255,126
5,3626.3911810898667,127
5,3468.180320288748,128
5,3551.589330762489,129
5,3471.2452370502165,130
5,3712.200154019647,131
5,3727.9829346484316,132
5,3653.67612897264,133
5,3621.9773750764784,134
5,3736.7458326943806,135
5,3756.4590310450826,136
5,3756.522976261149,137
5,3361.879065614254,138
5,3628.523524503811,139
5,3622.160447562099,140
5,3504.158218911039,141
5,3776.5840822069854,142
5,3516.486481220828,143
5,3792.7967446164416,144
5,3636.7859533471,145
5,3565.353587459117,146
5,3622.545760757023,147
5,3639.7463710008315,148
5,3763.3011240520786,149
6,3821.971022920959,150
6,3476.62908227044,151
6,3702.4938942513254,152
6,3641.794616716713,153
6,3648.4385548124856,154
6,3674.7873836187546,155
6,3714.9930913576814,156
6,3513.551078562024,157
6,3809.291923489834,158
6,3715.724875862724,159
6,3676.6741220464883,160
6,3676.642390942123,161
6,3754.811646373177,162
6,3652.8963607151686,163
6,3660.9797499823094,164
6,3494.6107014771997,165
6,3500.2608008619345,166
6,3662.554941788913,167
6,3781.9222751378734,168
6,3788.62666866029,169
6,3538.350227102423,170
6,3822.4166302227886,171
6,3329.549802673748,172
6,3646.389567595765,173
6,3650.134904553685,174
6,3740.5932221154003,175
6,3742.1844429584935,176
6,3698.526634450916,177
6,3599.76515501373,178
6,3605.9589050207946,179
7,3602.198969402608,180
7,3538.7510651679563,181
7,3658.3648489085995,182
7,3704.6150185030046,183
7,3691.655829900518,184
7,3568.7635832115743,185
7,3653.4022741517465,186
7,3917.19117299407,187
7,3520.5590389058357,188
7,3683.8401501399694,189
7,3741.3259638655186,190
7,3530.6003343583798,191
7,3689.399120378704,192
7,3620.593266909723,193
7,3574.7289196987385,194
7,3679.8303224600877,195
7,3675.777550940613,196
7,3665.8038753534247,197
7,3692.579405445984,198
7,3681.752774453338,199
7,3827.729547137966,200
7,3812.55709593417,201
7,3708.532094749242,202
7,3494.8728471764375,203
7,3834.798856795193,204
7,3714.743317515297,205
7,3819.7356421946774,206
7,3750.927741298319,207
7,3780.735459933536,208
7,3703.4765597288488,209
8,3677.3601955049335,210
8,3782.390964549641,211
8,3628.566952500919,212
8,3824.329245007178,213
8,3495.1138367722697,214
8,3678.2838890106905,215
8,3753.946299367437,216
8,3706.4506569478453,217
8,3803.407032342796,218
8,3778.2740666593268,219
8,3677.3880760960974,220
8,3873.8699567580434,221
8,3795.9091364676233,222
8,3905.2661118441324,223
8,3772.799640197788,224
8,3597.5740965991695,225
8,3707.0246494077583,226
8,3430.471918701537,227
8,3729.5235298577386,228
8,3803.775876703663,229
8,3629.9716761457744,230
8,3484.9422550228146,231
8,3793.6312254937466,232
8,3727.725215636539,233
8,3654.109655072527,234
8,3922.723914122713,235
8,3621.3354181553655,236
8,3771.83597423481,237
8,3682.707807273921,238
8,3703.1973512668483,239
9,3589.2517850853974,240
9,3896.9340911538866,241
9,3866.7335973179916,242
9,4008.240723213783,243
9,3808.2378392987016,244
9,3837.8724461987017,245
9,3661.8365650641967,246
